Z75	शून्य सात पाँच
9	नौ
3872	तीन आठ सात दो
2O	दो शून्य
9	नौ
Z9Z7	शून्य नौ शून्य सात
264OO	दो छः चार शून्य शून्य
6O1	छः शून्य एक
9ZZ6816	नौ शून्य शून्य छः आठ एक छः
2	दो
8	आठ
O	शून्य
5167	पाँच एक छः सात
Z8	शून्य आठ
8O74	आठ शून्य सात चार
491	चार नौ एक
9425316	नौ चार दो पाँच तीन एक छः
1	एक
56286	पाँच छः दो आठ छः
17441ZZ	एक सात चार चार एक शून्य शून्य
9O798	नौ शून्य सात नौ आठ
19	एक नौ
4	चार
887O975	आठ आठ सात शून्य नौ सात पाँच
57	पाँच सात
O86	शून्य आठ छः
67669	छः सात छः छः नौ
5	पाँच
7OO48	सात शून्य शून्य चार आठ
O223O	शून्य दो दो तीन शून्य
352Z8	तीन पाँच दो शून्य आठ
6Z2Z537	छः शून्य दो शून्य पाँच तीन सात
6Z74	छः शून्य सात चार
9ZZZZ43	नौ शून्य शून्य शून्य शून्य चार तीन
3Z93	तीन शून्य नौ तीन
918Z6	नौ एक आठ शून्य छः
3	तीन
5OO12	पाँच शून्य शून्य एक दो
4	चार
6	छः
2	दो
5	पाँच
65	छः पाँच
Z777136	शून्य सात सात सात एक तीन छः
O6349	शून्य छः तीन चार नौ
71Z9	सात एक शून्य नौ
Z515	शून्य पाँच एक पाँच
O32	शून्य तीन दो
Z337361	शून्य तीन तीन सात तीन छः एक
O	शून्य
789	सात आठ नौ
81996	आठ एक नौ नौ छः
234	दो तीन चार
29	दो नौ
3583	तीन पाँच आठ तीन
Z	शून्य
21O	दो एक शून्य
59	पाँच नौ
4Z485	चार शून्य चार आठ पाँच
Z	शून्य
6	छः
2452	दो चार पाँच दो
4Z6Z	चार शून्य छः शून्य
146	एक चार छः
8O	आठ शून्य
Z158	शून्य एक पाँच आठ
927	नौ दो सात
8726	आठ सात दो छः
3O65	तीन शून्य छः पाँच
81O	आठ एक शून्य
111	एक एक एक
3964547	तीन नौ छः चार पाँच चार सात
8	आठ
7	सात
3	तीन
7	सात
9	नौ
2O	दो शून्य
9	नौ
782O	सात आठ दो शून्य
4439OO1	चार चार तीन नौ शून्य शून्य एक
61	छः एक
2	दो
5162685	पाँच एक छः दो छः आठ पाँच
8	आठ
O	शून्य
O5	शून्य पाँच
Z8	शून्य आठ
1227Z33	एक दो दो सात शून्य तीन तीन
413	चार एक तीन
72	सात दो
3399374	तीन तीन नौ नौ तीन सात चार
78	सात आठ
1	एक
ZZ	शून्य शून्य
19	एक नौ
4	चार
882	आठ आठ दो
O187	शून्य एक आठ सात
4Z22739	चार शून्य दो दो सात तीन नौ
265	दो छः पाँच
5	पाँच
46O2	चार छः शून्य दो
84	आठ चार
3	तीन
4	चार
6	छः
2	दो
3414	तीन चार एक चार
1894435	एक आठ नौ चार चार तीन पाँच
56Z8698	पाँच छः शून्य आठ छः नौ आठ
7O6	सात शून्य छः
23O68O5	दो तीन शून्य छः आठ शून्य पाँच
5	पाँच
87823	आठ सात आठ दो तीन
777ZZ	सात सात सात शून्य शून्य
5445O	पाँच चार चार पाँच शून्य
583	पाँच आठ तीन
O	शून्य
Z8Z27	शून्य आठ शून्य दो सात
1332	एक तीन तीन दो
2OO	दो शून्य शून्य
66	छः छः
11OO9O7	एक एक शून्य शून्य नौ शून्य सात
9257	नौ दो पाँच सात
Z	शून्य
3O37	तीन शून्य तीन सात
6551214	छः पाँच पाँच एक दो एक चार
Z	शून्य
6	छः
554O4	पाँच पाँच चार शून्य चार
4351	चार तीन पाँच एक
3Z	तीन शून्य
6112	छः एक एक दो
4Z48898	चार शून्य चार आठ आठ नौ आठ
Z1ZZ9	शून्य एक शून्य शून्य नौ
617Z7	छः एक सात शून्य सात
7O76	सात शून्य सात छः
9242845	नौ दो चार दो आठ चार पाँच
9Z36Z36	नौ शून्य तीन छः शून्य तीन छः
2O31	दो शून्य तीन एक
595	पाँच नौ पाँच
938	नौ तीन आठ
Z41Z5Z6	शून्य चार एक शून्य पाँच शून्य छः
8	आठ
7	सात
3	तीन
O2	शून्य दो
7	सात
85O	आठ पाँच शून्य
199	एक नौ नौ
9	नौ
9	नौ
866	आठ छः छः
63472	छः तीन चार सात दो
96491	नौ छः चार नौ एक
OO8	शून्य शून्य आठ
O1	शून्य एक
4O	चार शून्य
2	दो
8	आठ
O	शून्य
31576	तीन एक पाँच सात छः
28	दो आठ
72	सात दो
Z958	शून्य नौ पाँच आठ
O42OO	शून्य चार दो शून्य शून्य
633	छः तीन तीन
1	एक
88	आठ आठ
Z9Z7818	शून्य नौ शून्य सात आठ एक आठ
4	चार
57	पाँच सात
5	पाँच
72Z16	सात दो शून्य एक छः
36	तीन छः
594	पाँच नौ चार
267OO49	दो छः सात शून्य शून्य चार नौ
84	आठ चार
91ZZ237	नौ एक शून्य शून्य दो तीन सात
1155	एक एक पाँच पाँच
3	तीन
41237	चार एक दो तीन सात
4	चार
6	छः
2	दो
17Z3Z	एक सात शून्य तीन शून्य
5	पाँच
6599	छः पाँच नौ नौ
Z4	शून्य चार
99OO1	नौ नौ शून्य शून्य एक
3524	तीन पाँच दो चार
16	एक छः
O	शून्य
47	चार सात
8Z2Z	आठ शून्य दो शून्य
313Z1	तीन एक तीन शून्य एक
Z	शून्य
25827	दो पाँच आठ दो सात
OO328	शून्य शून्य तीन दो आठ
849	आठ चार नौ
86Z44	आठ छः शून्य चार चार
Z547	शून्य पाँच चार सात
9489Z39	नौ चार आठ नौ शून्य तीन नौ
Z	शून्य
6	छः
O5O6146	शून्य पाँच शून्य छः एक चार छः
5O2	पाँच शून्य दो
3Z	तीन शून्य
2652Z73	दो छः पाँच दो शून्य सात तीन
7925	सात नौ दो पाँच
7Z835	सात शून्य आठ तीन पाँच
6O4	छः शून्य चार
O55	शून्य पाँच पाँच
Z834	शून्य आठ तीन चार
9751956	नौ सात पाँच एक नौ पाँच छः
4286	चार दो आठ छः
38	तीन आठ
6858O96	छः आठ पाँच आठ शून्य नौ छः
4691196	चार छः नौ एक एक नौ छः
12936	एक दो नौ तीन छः
2153	दो एक पाँच तीन
7O395O8	सात शून्य तीन नौ पाँच शून्य आठ
ZZ6	शून्य शून्य छः
8	आठ
7	सात
3	तीन
O2	शून्य दो
7	सात
9	नौ
9827717	नौ आठ दो सात सात एक सात
9	नौ
O1O93	शून्य एक शून्य नौ तीन
1Z	एक शून्य
644	छः चार चार
433	चार तीन तीन
2	दो
8	आठ
O	शून्य
2148	दो एक चार आठ
74O	सात चार शून्य
578	पाँच सात आठ
5632	पाँच छः तीन दो
97	नौ सात
Z5736	शून्य पाँच सात तीन छः
669	छः छः नौ
1	एक
4	चार
43561	चार तीन पाँच छः एक
5	पाँच
31	तीन एक
96733O9	नौ छः सात तीन तीन शून्य नौ
5983	पाँच नौ आठ तीन
795O2	सात नौ पाँच शून्य दो
11	एक एक
O6O3	शून्य छः शून्य तीन
637Z2	छः तीन सात शून्य दो
84	आठ चार
3	तीन
8236341	आठ दो तीन छः तीन चार एक
1874OO1	एक आठ सात चार शून्य शून्य एक
4	चार
6	छः
2	दो
56	पाँच छः
5O81	पाँच शून्य आठ एक
5	पाँच
512	पाँच एक दो
ZZZ77	शून्य शून्य शून्य सात सात
ZZ85Z	शून्य शून्य आठ पाँच शून्य
5355	पाँच तीन पाँच पाँच
4Z1	चार शून्य एक
77Z6691	सात सात शून्य छः छः नौ एक
O9	शून्य नौ
464	चार छः चार
6268Z97	छः दो छः आठ शून्य नौ सात
781O53O	सात आठ एक शून्य पाँच तीन शून्य
16	एक छः
O	शून्य
Z	शून्य
99O12OO	नौ नौ शून्य एक दो शून्य शून्य
O2272	शून्य दो दो सात दो
Z	शून्य
6	छः
889	आठ आठ नौ
26O768O	दो छः शून्य सात छः आठ शून्य
71883	सात एक आठ आठ तीन
6O6O	छः शून्य छः शून्य
3425	तीन चार दो पाँच
24Z	दो चार शून्य
Z199	शून्य एक नौ नौ
6714	छः सात एक चार
O44	शून्य चार चार
32Z	तीन दो शून्य
223Z	दो दो तीन शून्य
39ZZ2	तीन नौ शून्य शून्य दो
94	नौ चार
8	आठ
1386587	एक तीन आठ छः पाँच आठ सात
93Z3858	नौ तीन शून्य तीन आठ पाँच आठ
7	सात
89	आठ नौ
3	तीन
7	सात
4O5	चार शून्य पाँच
848O	आठ चार आठ शून्य
9	नौ
9	नौ
21	दो एक
757	सात पाँच सात
1Z	एक शून्य
32OO	तीन दो शून्य शून्य
275	दो सात पाँच
2	दो
4547651	चार पाँच चार सात छः पाँच एक
8	आठ
O	शून्य
Z5282	शून्य पाँच दो आठ दो
OO8O3	शून्य शून्य आठ शून्य तीन
1	एक
5651891	पाँच छः पाँच एक आठ नौ एक
8O9	आठ शून्य नौ
12	एक दो
4	चार
O16O	शून्य एक छः शून्य
5	पाँच
68Z2Z	छः आठ शून्य दो शून्य
Z54	शून्य पाँच चार
O871	शून्य आठ सात एक
7Z962	सात शून्य नौ छः दो
6736411	छः सात तीन छः चार एक एक
97O5215	नौ सात शून्य पाँच दो एक पाँच
1434728	एक चार तीन चार सात दो आठ
3	तीन
4	चार
6	छः
2	दो
535	पाँच तीन पाँच
747	सात चार सात
5	पाँच
832O743	आठ तीन दो शून्य सात चार तीन
29Z95	दो नौ शून्य नौ पाँच
1O638	एक शून्य छः तीन आठ
46	चार छः
8667	आठ छः छः सात
97586	नौ सात पाँच आठ छः
O9	शून्य नौ
48O17	चार आठ शून्य एक सात
O3O4818	शून्य तीन शून्य चार आठ एक आठ
88942	आठ आठ नौ चार दो
277	दो सात सात
Z34	शून्य तीन चार
9835	नौ आठ तीन पाँच
37	तीन सात
O	शून्य
631	छः तीन एक
4Z4	चार शून्य चार
Z149	शून्य एक चार नौ
Z	शून्य
7852Z	सात आठ पाँच दो शून्य
4593	चार पाँच नौ तीन
26259	दो छः दो पाँच नौ
442	चार चार दो
713Z	सात एक तीन शून्य
Z	शून्य
87	आठ सात
6	छः
1732	एक सात तीन दो
245ZZ85	दो चार पाँच शून्य शून्य आठ पाँच
2339	दो तीन तीन नौ
Z7	शून्य सात
6Z4	छः शून्य चार
755Z1	सात पाँच पाँच शून्य एक
94	नौ चार
51	पाँच एक
54Z3	पाँच चार शून्य तीन
619ZZZ7	छः एक नौ शून्य शून्य शून्य सात
Z6Z22	शून्य छः शून्य दो दो
8	आठ
7	सात
3	तीन
O2	शून्य दो
7	सात
5OO4469	पाँच शून्य शून्य चार चार छः नौ
3O5O	तीन शून्य पाँच शून्य
99	नौ नौ
31Z6657	तीन एक शून्य छः छः पाँच सात
9	नौ
9	नौ
1Z	एक शून्य
2	दो
382O612	तीन आठ दो शून्य छः एक दो
8	आठ
O	शून्य
391	तीन नौ एक
9526	नौ पाँच दो छः
29O47	दो नौ शून्य चार सात
1	एक
658	छः पाँच आठ
2483655	दो चार आठ तीन छः पाँच पाँच
4	चार
57	पाँच सात
O393O91	शून्य तीन नौ तीन शून्य नौ एक
862	आठ छः दो
7358	सात तीन पाँच आठ
5	पाँच
77	सात सात
O567	शून्य पाँच छः सात
5983	पाँच नौ आठ तीन
Z5	शून्य पाँच
34	तीन चार
OO19O	शून्य शून्य एक नौ शून्य
84	आठ चार
3	तीन
4	चार
6	छः
2	दो
9OO	नौ शून्य शून्य
77	सात सात
3749668	तीन सात चार नौ छः छः आठ
5	पाँच
2324	दो तीन दो चार
97992	नौ सात नौ नौ दो
853Z1	आठ पाँच तीन शून्य एक
7ZZ8	सात शून्य शून्य आठ
O	शून्य
54	पाँच चार
O282	शून्य दो आठ दो
1Z4Z2	एक शून्य चार शून्य दो
Z87ZZ3Z	शून्य आठ सात शून्य शून्य तीन शून्य
Z	शून्य
5257962	पाँच दो पाँच सात नौ छः दो
1ZZ6617	एक शून्य शून्य छः छः एक सात
4Z9	चार शून्य नौ
Z	शून्य
6	छः
29391	दो नौ तीन नौ एक
6946O	छः नौ चार छः शून्य
42151	चार दो एक पाँच एक
27631	दो सात छः तीन एक
942Z26Z	नौ चार दो शून्य दो छः शून्य
8O	आठ शून्य
Z1	शून्य एक
121	एक दो एक
6O4	छः शून्य चार
4598	चार पाँच नौ आठ
44	चार चार
Z464	शून्य चार छः चार
67Z99	छः सात शून्य नौ नौ
1O881	एक शून्य आठ आठ एक
5336895	पाँच तीन तीन छः आठ नौ पाँच
3318	तीन तीन एक आठ
82O	आठ दो शून्य
72Z3489	सात दो शून्य तीन चार आठ नौ
38O	तीन आठ शून्य
63	छः तीन
8	आठ
7	सात
3	तीन
7	सात
416	चार एक छः
ZZ78	शून्य शून्य सात आठ
9	नौ
9	नौ
3O55O6O	तीन शून्य पाँच पाँच शून्य छः शून्य
19Z	एक नौ शून्य
2	दो
8	आठ
O	शून्य
975	नौ सात पाँच
O75135O	शून्य सात पाँच एक तीन पाँच शून्य
4ZZ	चार शून्य शून्य
1	एक
469	चार छः नौ
76	सात छः
4	चार
8O5	आठ शून्य पाँच
9O62723	नौ शून्य छः दो सात दो तीन
OO84	शून्य शून्य आठ चार
47O	चार सात शून्य
5	पाँच
1739852	एक सात तीन नौ आठ पाँच दो
29458	दो नौ चार पाँच आठ
652	छः पाँच दो
91	नौ एक
2Z628	दो शून्य छः दो आठ
OO215	शून्य शून्य दो एक पाँच
3	तीन
4	चार
6	छः
2	दो
6384	छः तीन आठ चार
35337	तीन पाँच तीन तीन सात
5O	पाँच शून्य
5	पाँच
39	तीन नौ
Z4	शून्य चार
24	दो चार
22	दो दो
15	एक पाँच
O	शून्य
286Z	दो आठ छः शून्य
79Z18	सात नौ शून्य एक आठ
7534955	सात पाँच तीन चार नौ पाँच पाँच
Z	शून्य
Z9935	शून्य नौ नौ तीन पाँच
Z	शून्य
6	छः
149Z5	एक चार नौ शून्य पाँच
9272	नौ दो सात दो
ZZZ8	शून्य शून्य शून्य आठ
79O2975	सात नौ शून्य दो नौ सात पाँच
Z88Z674	शून्य आठ आठ शून्य छः सात चार
36O6O31	तीन छः शून्य छः शून्य तीन एक
54434	पाँच चार चार तीन चार
682O1	छः आठ दो शून्य एक
6423219	छः चार दो तीन दो एक नौ
51	पाँच एक
325	तीन दो पाँच
8	आठ
7	सात
3	तीन
3Z2Z	तीन शून्य दो शून्य
674	छः सात चार
O8	शून्य आठ
961O4	नौ छः एक शून्य चार
O13O7OO	शून्य एक तीन शून्य सात शून्य शून्य
7	सात
81Z	आठ एक शून्य
7112691	सात एक एक दो छः नौ एक
13	एक तीन
5664	पाँच छः छः चार
9	नौ
87O33O5	आठ सात शून्य तीन तीन शून्य पाँच
9	नौ
1199	एक एक नौ नौ
836	आठ तीन छः
41O71	चार एक शून्य सात एक
Z731437	शून्य सात तीन एक चार तीन सात
OO47	शून्य शून्य चार सात
2	दो
8	आठ
O	शून्य
9386	नौ तीन आठ छः
8Z3Z	आठ शून्य तीन शून्य
4O9	चार शून्य नौ
578	पाँच सात आठ
1	एक
76	सात छः
4	चार
Z6Z1	शून्य छः शून्य एक
5	पाँच
O9716O2	शून्य नौ सात एक छः शून्य दो
3867795	तीन आठ छः सात सात नौ पाँच
36	तीन छः
Z5	शून्य पाँच
86	आठ छः
419ZZ2Z	चार एक नौ शून्य शून्य दो शून्य
73ZZ	सात तीन शून्य शून्य
1Z2	एक शून्य दो
Z78	शून्य सात आठ
3	तीन
4	चार
6	छः
2	दो
1617	एक छः एक सात
2474822	दो चार सात चार आठ दो दो
77	सात सात
81	आठ एक
629O	छः दो नौ शून्य
9882	नौ आठ आठ दो
O88O145	शून्य आठ आठ शून्य एक चार पाँच
5O	पाँच शून्य
5	पाँच
992O372	नौ नौ दो शून्य तीन सात दो
8O6	आठ शून्य छः
7OO	सात शून्य शून्य
98	नौ आठ
O	शून्य
ZZ9	शून्य शून्य नौ
215Z4	दो एक पाँच शून्य चार
O766	शून्य सात छः छः
63ZZ3	छः तीन शून्य शून्य तीन
Z	शून्य
1O546	एक शून्य पाँच चार छः
Z	शून्य
6	छः
964	नौ छः चार
32641	तीन दो छः चार एक
Z617	शून्य छः एक सात
13583	एक तीन पाँच आठ तीन
9789267	नौ सात आठ नौ दो छः सात
43183	चार तीन एक आठ तीन
38	तीन आठ
4O15	चार शून्य एक पाँच
85Z7Z	आठ पाँच शून्य सात शून्य
3347O99	तीन तीन चार सात शून्य नौ नौ
6OO5	छः शून्य शून्य पाँच
6575391	छः पाँच सात पाँच तीन नौ एक
69356Z3	छः नौ तीन पाँच छः शून्य तीन
51	पाँच एक
549	पाँच चार नौ
8	आठ
7	सात
3	तीन
12134	एक दो एक तीन चार
O2	शून्य दो
8Z4	आठ शून्य चार
7	सात
OO668	शून्य शून्य छः छः आठ
4463O	चार चार छः तीन शून्य
2529	दो पाँच दो नौ
9	नौ
7Z19	सात शून्य एक नौ
9	नौ
527	पाँच दो सात
228	दो दो आठ
2O3	दो शून्य तीन
43311	चार तीन तीन एक एक
2	दो
8	आठ
O	शून्य
5142Z89	पाँच एक चार दो शून्य आठ नौ
7Z425	सात शून्य चार दो पाँच
78	सात आठ
Z792	शून्य सात नौ दो
Z942765	शून्य नौ चार दो सात छः पाँच
1	एक
Z17Z4	शून्य एक सात शून्य चार
23O7674	दो तीन शून्य सात छः सात चार
1612848	एक छः एक दो आठ चार आठ
46872O5	चार छः आठ सात दो शून्य पाँच
4	चार
73	सात तीन
5	पाँच
7Z	सात शून्य
62OO6	छः दो शून्य शून्य छः
98O1	नौ आठ शून्य एक
3Z98	तीन शून्य नौ आठ
3	तीन
5ZZ2	पाँच शून्य शून्य दो
85	आठ पाँच
4	चार
21ZZ	दो एक शून्य शून्य
6	छः
Z58	शून्य पाँच आठ
2	दो
326	तीन दो छः
8Z39Z	आठ शून्य तीन नौ शून्य
O85	शून्य आठ पाँच
9O26	नौ शून्य दो छः
5Z6	पाँच शून्य छः
5	पाँच
72934	सात दो नौ तीन चार
8Z83316	आठ शून्य आठ तीन तीन एक छः
O9	शून्य नौ
695	छः नौ पाँच
O	शून्य
13114	एक तीन एक एक चार
99386Z8	नौ नौ तीन आठ छः शून्य आठ
875	आठ सात पाँच
O4OO	शून्य चार शून्य शून्य
Z	शून्य
21438	दो एक चार तीन आठ
2ZZ28	दो शून्य शून्य दो आठ
952	नौ पाँच दो
Z155	शून्य एक पाँच पाँच
49	चार नौ
Z	शून्य
6	छः
4O7O5	चार शून्य सात शून्य पाँच
122	एक दो दो
153Z664	एक पाँच तीन शून्य छः छः चार
18963	एक आठ नौ छः तीन
6789	छः सात आठ नौ
457	चार पाँच सात
3579O39	तीन पाँच सात नौ शून्य तीन नौ
51O	पाँच एक शून्य
8118224	आठ एक एक आठ दो दो चार
5494	पाँच चार नौ चार
8	आठ
7	सात
3	तीन
34Z36Z7	तीन चार शून्य तीन छः शून्य सात
O8	शून्य आठ
7	सात
9	नौ
9	नौ
96	नौ छः
6O	छः शून्य
625	छः दो पाँच
O997441	शून्य नौ नौ सात चार चार एक
3292Z	तीन दो नौ दो शून्य
4O	चार शून्य
53	पाँच तीन
2	दो
8	आठ
O	शून्य
2471	दो चार सात एक
Z75	शून्य सात पाँच
95Z	नौ पाँच शून्य
45858	चार पाँच आठ पाँच आठ
9371	नौ तीन सात एक
1	एक
72O63	सात दो शून्य छः तीन
O7O	शून्य सात शून्य
238Z3	दो तीन आठ शून्य तीन
6336	छः तीन तीन छः
3118	तीन एक एक आठ
ZZ342	शून्य शून्य तीन चार दो
4	चार
6657	छः छः पाँच सात
59329	पाँच नौ तीन दो नौ
11352	एक एक तीन पाँच दो
5	पाँच
32151	तीन दो एक पाँच एक
373	तीन सात तीन
86	आठ छः
84	आठ चार
9546	नौ पाँच चार छः
OO56	शून्य शून्य पाँच छः
3	तीन
4	चार
6	छः
2	दो
23	दो तीन
535	पाँच तीन पाँच
79Z51Z2	सात नौ शून्य पाँच एक शून्य दो
1273	एक दो सात तीन
5O	पाँच शून्य
5	पाँच
2Z	दो शून्य
453O196	चार पाँच तीन शून्य एक नौ छः
16	एक छः
O	शून्य
6576	छः पाँच सात छः
4826177	चार आठ दो छः एक सात सात
15O1O89	एक पाँच शून्य एक शून्य आठ नौ
Z	शून्य
9978ZZ8	नौ नौ सात आठ शून्य शून्य आठ
5548O	पाँच पाँच चार आठ शून्य
742O46O	सात चार दो शून्य चार छः शून्य
Z	शून्य
6	छः
316	तीन एक छः
5Z9	पाँच शून्य नौ
O9O	शून्य नौ शून्य
68O92OO	छः आठ शून्य नौ दो शून्य शून्य
4989	चार नौ आठ नौ
83ZZ676	आठ तीन शून्य शून्य छः सात छः
ZZ62	शून्य शून्य छः दो
664Z	छः छः चार शून्य
7Z4Z136	सात शून्य चार शून्य एक तीन छः
OO3	शून्य शून्य तीन
9Z794	नौ शून्य सात नौ चार
8	आठ
7	सात
3	तीन
Z17Z8	शून्य एक सात शून्य आठ
7	सात
3O	तीन शून्य
9	नौ
9	नौ
43	चार तीन
87O8281	आठ सात शून्य आठ दो आठ एक
8183926	आठ एक आठ तीन नौ दो छः
21	दो एक
O72	शून्य सात दो
74788	सात चार सात आठ आठ
2	दो
8	आठ
O	शून्य
14	एक चार
Z29	शून्य दो नौ
28	दो आठ
45Z88	चार पाँच शून्य आठ आठ
31O9	तीन एक शून्य नौ
5981126	पाँच नौ आठ एक एक दो छः
1	एक
ZZ	शून्य शून्य
4	चार
1Z6	एक शून्य छः
57	पाँच सात
5	पाँच
42478	चार दो चार सात आठ
6Z93Z46	छः शून्य नौ तीन शून्य चार छः
9118	नौ एक एक आठ
2558221	दो पाँच पाँच आठ दो दो एक
3	तीन
4	चार
6	छः
2	दो
849Z339	आठ चार नौ शून्य तीन तीन नौ
95141O9	नौ पाँच एक चार एक शून्य नौ
81	आठ एक
4O74	चार शून्य सात चार
42O	चार दो शून्य
5O	पाँच शून्य
5	पाँच
Z286	शून्य दो आठ छः
12O6	एक दो शून्य छः
1776O	एक सात सात छः शून्य
7369	सात तीन छः नौ
Z2Z	शून्य दो शून्य
97Z53	नौ सात शून्य पाँच तीन
83Z	आठ तीन शून्य
1629	एक छः दो नौ
O	शून्य
221	दो दो एक
844Z	आठ चार चार शून्य
667	छः छः सात
29	दो नौ
Z	शून्य
38Z	तीन आठ शून्य
ZZZ79Z7	शून्य शून्य शून्य सात नौ शून्य सात
OOO77	शून्य शून्य शून्य सात सात
Z	शून्य
6	छः
3485193	तीन चार आठ पाँच एक नौ तीन
6Z	छः शून्य
4486	चार चार आठ छः
7135Z	सात एक तीन पाँच शून्य
7O	सात शून्य
8	आठ
7	सात
3	तीन
8278945	आठ दो सात आठ नौ चार पाँच
7	सात
9O1	नौ शून्य एक
O8O473O	शून्य आठ शून्य चार सात तीन शून्य
72Z	सात दो शून्य
3O	तीन शून्य
9	नौ
9	नौ
O394	शून्य तीन नौ चार
243	दो चार तीन
O597O	शून्य पाँच नौ सात शून्य
61	छः एक
92538	नौ दो पाँच तीन आठ
7437	सात चार तीन सात
56146	पाँच छः एक चार छः
327	तीन दो सात
2	दो
8	आठ
64175	छः चार एक सात पाँच
O	शून्य
O4	शून्य चार
154O28O	एक पाँच चार शून्य दो आठ शून्य
5899O	पाँच आठ नौ नौ शून्य
Z8	शून्य आठ
2336757	दो तीन तीन छः सात पाँच सात
69	छः नौ
85814	आठ पाँच आठ एक चार
78	सात आठ
Z91	शून्य नौ एक
1	एक
ZZ	शून्य शून्य
ZZ847	शून्य शून्य आठ चार सात
77185	सात सात एक आठ पाँच
5O8	पाँच शून्य आठ
1449	एक चार चार नौ
3Z7	तीन शून्य सात
4	चार
5	पाँच
7Z	सात शून्य
9754Z23	नौ सात पाँच चार शून्य दो तीन
996	नौ नौ छः
2132O52	दो एक तीन दो शून्य पाँच दो
3	तीन
378Z	तीन सात आठ शून्य
4	चार
6	छः
2	दो
3636	तीन छः तीन छः
1966	एक नौ छः छः
5	पाँच
55984	पाँच पाँच नौ आठ चार
39	तीन नौ
43418	चार तीन चार एक आठ
6439	छः चार तीन नौ
4899ZZ9	चार आठ नौ नौ शून्य शून्य नौ
O9	शून्य नौ
988	नौ आठ आठ
8O6	आठ शून्य छः
228O	दो दो आठ शून्य
O	शून्य
42	चार दो
81Z56	आठ एक शून्य पाँच छः
692	छः नौ दो
Z	शून्य
5195916	पाँच एक नौ पाँच नौ एक छः
7261	सात दो छः एक
473112Z	चार सात तीन एक एक दो शून्य
Z	शून्य
6	छः
57353	पाँच सात तीन पाँच तीन
6Z	छः शून्य
O13	शून्य एक तीन
3Z	तीन शून्य
24589	दो चार पाँच आठ नौ
7292767	सात दो नौ दो सात छः सात
1611712	एक छः एक एक सात एक दो
O9OO6	शून्य नौ शून्य शून्य छः
229O745	दो दो नौ शून्य सात चार पाँच
4O31	चार शून्य तीन एक
8	आठ
7	सात
3	तीन
OO42349	शून्य शून्य चार दो तीन चार नौ
1O486	एक शून्य चार आठ छः
7	सात
Z538Z62	शून्य पाँच तीन आठ शून्य छः दो
57Z7	पाँच सात शून्य सात
9	नौ
879OO24	आठ सात नौ शून्य शून्य दो चार
2O	दो शून्य
9	नौ
65ZZ4	छः पाँच शून्य शून्य चार
2	दो
883O	आठ आठ तीन शून्य
8	आठ
O	शून्य
946	नौ चार छः
975	नौ सात पाँच
Z8	शून्य आठ
1O1	एक शून्य एक
O54O	शून्य पाँच चार शून्य
877O8	आठ सात सात शून्य आठ
699717O	छः नौ नौ सात एक सात शून्य
1	एक
O7O	शून्य सात शून्य
4O63266	चार शून्य छः तीन दो छः छः
937	नौ तीन सात
4	चार
29ZZ2	दो नौ शून्य शून्य दो
Z63Z	शून्य छः तीन शून्य
5	पाँच
56Z	पाँच छः शून्य
339	तीन तीन नौ
73Z91Z4	सात तीन शून्य नौ एक शून्य चार
O374	शून्य तीन सात चार
2344	दो तीन चार चार
3	तीन
85	आठ पाँच
19O	एक नौ शून्य
4	चार
6	छः
2	दो
4O79276	चार शून्य सात नौ दो सात छः
78Z7	सात आठ शून्य सात
3255	तीन दो पाँच पाँच
357Z	तीन पाँच सात शून्य
75Z8	सात पाँच शून्य आठ
5	पाँच
45964	चार पाँच नौ छः चार
3ZZ4	तीन शून्य शून्य चार
7395O36	सात तीन नौ पाँच शून्य तीन छः
1713	एक सात एक तीन
4Z51Z98	चार शून्य पाँच एक शून्य नौ आठ
O	शून्य
O47	शून्य चार सात
8389223	आठ तीन आठ नौ दो दो तीन
Z	शून्य
Z3	शून्य तीन
13OO249	एक तीन शून्य शून्य दो चार नौ
93165	नौ तीन एक छः पाँच
21844	दो एक आठ चार चार
Z	शून्य
6	छः
83662O9	आठ तीन छः छः दो शून्य नौ
547	पाँच चार सात
24388	दो चार तीन आठ आठ
8O	आठ शून्य
Z1	शून्य एक
353	तीन पाँच तीन
94581	नौ चार पाँच आठ एक
8	आठ
OO128	शून्य शून्य एक दो आठ
7	सात
3	तीन
58	पाँच आठ
67	छः सात
7	सात
52	पाँच दो
9	नौ
O42	शून्य चार दो
191	एक नौ एक
9	नौ
43348	चार तीन तीन चार आठ
52	पाँच दो
2ZZZ	दो शून्य शून्य शून्य
61	छः एक
Z146Z	शून्य एक चार छः शून्य
998	नौ नौ आठ
67464	छः सात चार छः चार
9Z76	नौ शून्य सात छः
781516Z	सात आठ एक पाँच एक छः शून्य
2	दो
8	आठ
O	शून्य
14	एक चार
Z5Z2841	शून्य पाँच शून्य दो आठ चार एक
68	छः आठ
97	नौ सात
893Z837	आठ नौ तीन शून्य आठ तीन सात
ZZ25	शून्य शून्य दो पाँच
78	सात आठ
1	एक
4733O7O	चार सात तीन तीन शून्य सात शून्य
5231	पाँच दो तीन एक
Z6	शून्य छः
281O8	दो आठ एक शून्य आठ
4	चार
3494Z	तीन चार नौ चार शून्य
47O	चार सात शून्य
5	पाँच
332	तीन तीन दो
O25OO	शून्य दो पाँच शून्य शून्य
11	एक एक
Z9	शून्य नौ
3	तीन
